3.8434 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
83.5888 	EXP 	fixation: autoDraw = False
83.5888 	EXP 	grating: autoDraw = False
83.5888 	EXP 	grating: ori = -4.0
83.5888 	EXP 	fixation: autoDraw = True
84.5886 	EXP 	fixation: autoDraw = False
84.5886 	EXP 	grating: autoDraw = True
84.8887 	EXP 	grating: autoDraw = False
85.0154 	EXP 	New trial (rep=35, index=0): None
85.0183 	DATA 	Keypress: down
85.0219 	EXP 	fixation: autoDraw = False
85.0219 	EXP 	grating: autoDraw = False
85.0219 	EXP 	grating: ori = 0.0
85.0219 	EXP 	fixation: autoDraw = True
86.0219 	EXP 	fixation: autoDraw = False
86.0219 	EXP 	grating: autoDraw = True
86.3215 	EXP 	grating: autoDraw = False
86.3244 	EXP 	New trial (rep=36, index=0): None
86.3260 	DATA 	Keypress: down
86.3382 	EXP 	fixation: autoDraw = False
86.3382 	EXP 	grating: autoDraw = False
86.3382 	EXP 	grating: ori = 0.0
86.3382 	EXP 	fixation: autoDraw = True
87.3380 	EXP 	fixation: autoDraw = False
87.3380 	EXP 	grating: autoDraw = True
87.6380 	EXP 	grating: autoDraw = False
87.7933 	EXP 	New trial (rep=37, index=0): None
87.7959 	DATA 	Keypress: down
87.8048 	EXP 	fixation: autoDraw = False
87.8048 	EXP 	grating: autoDraw = False
87.8048 	EXP 	grating: ori = 0.0
87.8048 	EXP 	fixation: autoDraw = True
88.8043 	EXP 	fixation: autoDraw = False
88.8043 	EXP 	grating: autoDraw = True
89.1043 	EXP 	grating: autoDraw = False
89.2087 	EXP 	New trial (rep=38, index=0): None
89.2111 	DATA 	Keypress: up
89.2210 	EXP 	fixation: autoDraw = False
89.2210 	EXP 	grating: autoDraw = False
89.2210 	EXP 	grating: ori = -5.0
89.2210 	EXP 	fixation: autoDraw = True
90.2208 	EXP 	fixation: autoDraw = False
90.2208 	EXP 	grating: autoDraw = True
90.5205 	EXP 	grating: autoDraw = False
90.5746 	DATA 	Keypress: up
90.5929 	EXP 	New trial (rep=39, index=0): None
90.6040 	EXP 	fixation: autoDraw = False
90.6040 	EXP 	grating: autoDraw = False
90.6040 	EXP 	grating: ori = 0.0
90.6040 	EXP 	fixation: autoDraw = True
91.6037 	EXP 	fixation: autoDraw = False
91.6037 	EXP 	grating: autoDraw = True
91.9037 	EXP 	grating: autoDraw = False
92.0936 	EXP 	New trial (rep=40, index=0): None
92.0957 	DATA 	Keypress: down
92.1036 	EXP 	fixation: autoDraw = False
92.1036 	EXP 	grating: autoDraw = False
92.1036 	EXP 	grating: ori = 0.0
92.1036 	EXP 	fixation: autoDraw = True
93.1034 	EXP 	fixation: autoDraw = False
93.1034 	EXP 	grating: autoDraw = True
93.4031 	EXP 	grating: autoDraw = False
93.5924 	DATA 	Keypress: up
93.6142 	EXP 	New trial (rep=41, index=0): None
93.6215 	EXP 	fixation: autoDraw = False
93.6215 	EXP 	grating: autoDraw = False
93.6215 	EXP 	grating: ori = 0.0
93.6215 	EXP 	fixation: autoDraw = True
94.6197 	EXP 	grating: autoDraw = True
94.6364 	EXP 	fixation: autoDraw = False
94.9195 	EXP 	grating: autoDraw = False
95.1776 	EXP 	New trial (rep=42, index=0): None
95.1800 	DATA 	Keypress: up
95.1861 	EXP 	fixation: autoDraw = False
95.1861 	EXP 	grating: autoDraw = False
95.1861 	EXP 	grating: ori = 0.0
95.1861 	EXP 	fixation: autoDraw = True
96.1862 	EXP 	fixation: autoDraw = False
96.1862 	EXP 	grating: autoDraw = True
96.4863 	EXP 	grating: autoDraw = False
96.8457 	EXP 	New trial (rep=43, index=0): None
96.8491 	DATA 	Keypress: up
96.8524 	EXP 	fixation: autoDraw = False
96.8524 	EXP 	grating: autoDraw = False
96.8524 	EXP 	grating: ori = 0.0
96.8524 	EXP 	fixation: autoDraw = True
97.8522 	EXP 	fixation: autoDraw = False
97.8522 	EXP 	grating: autoDraw = True
98.1522 	EXP 	grating: autoDraw = False
